F:\Development\CarND-Behavioral-Cloning-P3\data1\IMG\center_2019_03_24_15_14_54_753.jpg,F:\Development\CarND-Behavioral-Cloning-P3\data1\IMG\left_2019_03_24_15_14_54_753.jpg,F:\Development\CarND-Behavioral-Cloning-P3\data1\IMG\right_2019_03_24_15_14_54_753.jpg,0,0,0,5.34E-05
F:\Development\CarND-Behavioral-Cloning-P3\data1\IMG\center_2019_03_24_15_14_54_821.jpg,F:\Development\CarND-Behavioral-Cloning-P3\data1\IMG\left_2019_03_24_15_14_54_821.jpg,F:\Development\CarND-Behavioral-Cloning-P3\data1\IMG\right_2019_03_24_15_14_54_821.jpg,0,0,0,9.73E-05
F:\Development\CarND-Behavioral-Cloning-P3\data1\IMG\center_2019_03_24_15_14_54_891.jpg,F:\Development\CarND-Behavioral-Cloning-P3\data1\IMG\left_2019_03_24_15_14_54_891.jpg,F:\Development\CarND-Behavioral-Cloning-P3\data1\IMG\right_2019_03_24_15_14_54_891.jpg,0,0,0,7.28E-05
F:\Development\CarND-Behavioral-Cloning-P3\data1\IMG\center_2019_03_24_15_14_54_959.jpg,F:\Development\CarND-Behavioral-Cloning-P3\data1\IMG\left_2019_03_24_15_14_54_959.jpg,F:\Development\CarND-Behavioral-Cloning-P3\data1\IMG\right_2019_03_24_15_14_54_959.jpg,0,0,0,8.49E-05
F:\Development\CarND-Behavioral-Cloning-P3\data1\IMG\center_2019_03_24_15_14_55_034.jpg,F:\Development\CarND-Behavioral-Cloning-P3\data1\IMG\left_2019_03_24_15_14_55_034.jpg,F:\Development\CarND-Behavioral-Cloning-P3\data1\IMG\right_2019_03_24_15_14_55_034.jpg,0,0,0,0.000106186
F:\Development\CarND-Behavioral-Cloning-P3\data1\IMG\center_2019_03_24_15_14_55_106.jpg,F:\Development\CarND-Behavioral-Cloning-P3\data1\IMG\left_2019_03_24_15_14_55_106.jpg,F:\Development\CarND-Behavioral-Cloning-P3\data1\IMG\right_2019_03_24_15_14_55_106.jpg,0,0,0,0.000127743
F:\Development\CarND-Behavioral-Cloning-P3\data1\IMG\center_2019_03_24_15_14_55_174.jpg,F:\Development\CarND-Behavioral-Cloning-P3\data1\IMG\left_2019_03_24_15_14_55_174.jpg,F:\Development\CarND-Behavioral-Cloning-P3\data1\IMG\right_2019_03_24_15_14_55_174.jpg,0,0,0,0.00014268
F:\Development\CarND-Behavioral-Cloning-P3\data1\IMG\center_2019_03_24_15_14_55_244.jpg,F:\Development\CarND-Behavioral-Cloning-P3\data1\IMG\left_2019_03_24_15_14_55_244.jpg,F:\Development\CarND-Behavioral-Cloning-P3\data1\IMG\right_2019_03_24_15_14_55_244.jpg,0,0,0,0.000164902
F:\Development\CarND-Behavioral-Cloning-P3\data1\IMG\center_2019_03_24_15_14_55_318.jpg,F:\Development\CarND-Behavioral-Cloning-P3\data1\IMG\left_2019_03_24_15_14_55_318.jpg,F:\Development\CarND-Behavioral-Cloning-P3\data1\IMG\right_2019_03_24_15_14_55_318.jpg,0,0,0,0.000229275
F:\Development\CarND-Behavioral-Cloning-P3\data1\IMG\center_2019_03_24_15_14_55_386.jpg,F:\Development\CarND-Behavioral-Cloning-P3\data1\IMG\left_2019_03_24_15_14_55_386.jpg,F:\Development\CarND-Behavioral-Cloning-P3\data1\IMG\right_2019_03_24_15_14_55_386.jpg,0,0,0,3.26E-05
